headlines,text,date,author,read_more,image_url,inshorts_url,original_source,day
India's fiscal deficit at 6.7% of GDP in 2021-22,"The central government's fiscal deficit stood at 6.7% of the GDP (gross domestic product) for 2021-22, lower than 6.9% estimated by the Ministry of Finance in the revised Budget 2022 estimates. During Budget 2022, the fiscal deficit was revised to ₹15.91 lakh crore. According to data shared on Tuesday, India's fiscal deficit for the financial year was ₹15.87 lakh crore.",2022-05-31,Hiral Goyal,https://www.moneycontrol.com/news/business/economy/centres-fy22-fiscal-deficit-at-rs-15-87-lakh-crore-99-7-of-revised-target-8610721.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/05_may/31_tue/img_1653994299157_913.jpg?,https://inshorts.com/en/news/indias-fiscal-deficit-at-67-of-gdp-in-202122-1653995145058,Moneycontrol,Tuesday
UPI transactions cross ₹10-lakh-crore mark for the first time in May,"Unified Payments Interface (UPI) saw transactions worth ₹10.41 lakh crore in May 2022, crossing the ₹10-lakh-crore mark for the first time ever, data from National Payments Corporation of India showed. A total of 595 crore transactions were recorded in May 2022, up 134.5% from 254 crore transactions recorded in May 2021. UPI transactions also breached the $1-trillion mark in FY22.",2022-06-02,Ashley Paul,https://www.moneycontrol.com/news/business/another-record-month-for-upi-transactions-cross-rs-10-lakh-crore-milestone-in-may-8627821.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/06_jun/2_thu/img_1654159283849_773.jpg?,https://inshorts.com/en/news/upi-transactions-cross-₹10lakhcrore-mark-for-the-first-time-in-may-1654162673199,Moneycontrol,Thursday
Hindustan Unilever CEO Sanjiv Mehta's salary jumps 47% to ₹22 crore in 2021-22,"Sanjiv Mehta, the CEO and MD of Hindustan Unilever (HUL), received a salary of ₹22 crore in 2021-22, marking a 47% jump from ₹15 crore in 2020-21. Mehta's total compensation included ₹3.7 crore salary, ₹9.2 crore in allowances, ₹4.3 crore bonus and ₹4.2 crore as perquisite. In 2019-20, Mehta was the highest-paid FMCG CEO, with a salary of ₹19.42 crore.",2022-05-31,Hiral Goyal,https://www.moneycontrol.com/news/business/companies/hul-ceo-sanjiv-mehtas-salary-jumps-47-to-rs-22-crore-in-fy22-8614341.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/05_may/31_tue/img_1653998494594_9.jpg?,https://inshorts.com/en/news/hindustan-unilever-ceo-sanjiv-mehtas-salary-jumps-47-to-₹22-crore-in-202122-1654001342657,Moneycontrol,Tuesday
India's digital payment industry to reach $10 tn by 2026: Report,"A report by PhonePe in collaboration with Boston Consulting Group (BCG) has said that India's digital payments market is at an ""inflection point"" and is expected to more than triple from the current $3 trillion to $10 trillion by 2026. Digital payments' overall share will reportedly grow to 65% in 2026 and will constitute two out of three payment transactions.",2022-06-02,Aishwarya Awasthi,https://www.moneycontrol.com/news/business/indian-digital-payments-industry-to-more-than-triple-to-10-trillion-by-2026-report-8629041.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/06_jun/2_thu/img_1654169209635_21.jpg?,https://inshorts.com/en/news/indias-digital-payment-industry-to-reach-$10-tn-by-2026-report-1654168755940,Moneycontrol,Thursday
"Delhivery shares surge 15%, touch their highest-ever price of ₹617","Shares of Delhivery rose to their highest-ever price of ₹617.35/share on Thursday after Credit Suisse initiated coverage with an 'outperform' rating. Shares of Delhivery, which were listed on May 24, were up ₹81.7, or 15%, compared with its closing price of ₹535.65 recorded on Wednesday. The shares have risen 26.7% from their IPO issue price of ₹487/share.",2022-06-02,Ashley Paul,https://www.bqprime.com/markets/delhivery-shares-surge-as-credit-suisse-initiates-coverage-with-an-outperform?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/06_jun/2_thu/img_1654168878890_990.jpg?,https://inshorts.com/en/news/delhivery-shares-surge-15-touch-their-highestever-price-of-₹617-1654170401647,BQ Prime,Thursday
India's textiles exports highest-ever in 2021-22 at $44.4 bn: Govt,"The government on Tuesday said that India recorded its highest-ever textiles and apparel exports in the financial year 2021-22 at $44.4 billion. This represents a 41% growth in exports as compared to the previous financial year. The US was the biggest destination for Indian textiles and apparel shipments at 27%, followed by European Union at 18% and Bangladesh at 12%.",2022-05-31,Shailesh,https://www.moneycontrol.com/news/business/indias-textiles-exports-highest-ever-in-fy22-at-44-4-billion-govenment-8615241.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/05_may/31_tue/img_1654013389005_102.jpg?,https://inshorts.com/en/news/indias-textiles-exports-highestever-in-202122-at-$444-bn-govt-1654015100494,Moneycontrol,Tuesday
"Israel signs trade deal with UAE, first-ever with an Arab state","Israel has signed a free trade agreement with the United Arab Emirates (UAE), its first with an Arab country. The pact was signed on Tuesday by both the countries' Economic Ministers. The deal would remove tariffs on 96% of goods. Two-way trade between Israel and the UAE last year totalled some $900 million, according to Israeli figures.",2022-05-31,Athira Sasidharan,https://amp.dw.com/en/israel-uae-sign-historic-free-trade-deal/a-61982399?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/05_may/31_tue/img_1653992203539_302.jpg?,https://inshorts.com/en/news/israel-signs-trade-deal-with-uae-firstever-with-an-arab-state-1653995346920,DW News,Tuesday
Sri Lanka seeking $3 bn under IMF's Extended Fund Facility: Report,"Sri Lanka is in talks with the International Monetary Fund (IMF) to borrow $3 billion under the latter's Extended Fund Facility, Reuters reported. Sri Lanka expects another round of technical talks with IMF in early June and hopes to reach a staff-level agreement by June-end. A taxation overhaul to boost revenue was announced by the Lankan government on Tuesday.",2022-06-01,Ashley Paul,https://www.financialexpress.com/economy/sri-lanka-seeking-3-billion-under-imf-extended-fund-facility/2545540/lite/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/06_jun/1_wed/img_1654093763464_956.jpg?,https://inshorts.com/en/news/sri-lanka-seeking-$3-bn-under-imfs-extended-fund-facility-report-1654096005933,Financial Express,Wednesday
LIC share price drops over 3% after its Q4 net profit falls 17%,The share price of Life Insurance Corporation of India (LIC) dropped over 3% on Tuesday after the insurer's consolidated net profit in the January-March quarter of FY22 dropped 17%. LIC's stock price dropped 3.23% on the BSE and 3.31% on the NSE on Tuesday. The stock price has fallen about 15% from its IPO issue price of ₹949/share.,2022-05-31,Ashley Paul,https://www.financialexpress.com/market/lic-share-price-falls-more-than-2-post-weak-q4-results-tanks-15-from-ipo-price-what-should-you-do/2543316/lite/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/05_may/31_tue/img_1653991256853_122.jpg?,https://inshorts.com/en/news/lic-share-price-drops-over-3-after-its-q4-net-profit-falls-17-1653993111399,Financial Express,Tuesday
Crude oil price crosses $117 mark over EU's Russian oil ban,"Crude oil price crossed the $117 mark on Wednesday after European Union agreed to a phased ban on Russian oil and as China ended its COVID-19 lockdown in Shanghai. While Brent crude rose $1.80 to $117.40/barrel, US West Texas Intermediate (WTI) was up $1.63 to $116.30/barrel at 6:03 pm. May is the sixth consecutive month recording rising crude oil prices.",2022-06-01,Ashley Paul,https://www.reuters.com/markets/commodities/oil-prices-open-higher-eu-russian-oil-ban-end-shanghai-lockdown-2022-06-01/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/06_jun/1_wed/img_1654087358045_23.jpg?,https://inshorts.com/en/news/crude-oil-price-crosses-$117-mark-over-eus-russian-oil-ban-1654089014490,Reuters,Wednesday
GST collection falls 16% to ₹1.41 lakh cr from record high in April,"GST collection in May 2022 fell 16% to ₹1.41 lakh crore from an all-time high of ₹1.68 lakh crore in April 2022, Finance Ministry's data showed. GST collection in May 2022, however, rose 44% YoY from ₹97,821 crore GST collected in May 2021. The ministry clarified that the returns in May have always been lesser than that in April.",2022-06-01,Ashley Paul,https://www.moneycontrol.com/news/business/economy/gst-collections-fall-16-to-rs-1-41-lakh-crore-in-may-from-record-highs-a-month-back-8617831.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/06_jun/1_wed/img_1654073631034_302.jpg?,https://inshorts.com/en/news/gst-collection-falls-16-to-₹141-lakh-cr-from-record-high-in-april-1654074706092,Moneycontrol,Wednesday
"Inflation in EU countries hits 8.1% in May, highest since 1997","Inflation in 19 European Union countries hit an all-time high of 8.1% in May, authorities said. Inflation, which is at its highest level since 1997, was driven by a rise in food and energy prices after Russia's invasion of Ukraine sent commodity prices soaring. Core inflation, which excludes volatile components like food, energy and alcohol, rose to 3.8% in May.",2022-05-31,Ashley Paul,https://www.financialexpress.com/economy/eurozone-inflation-hits-record-8-1-amid-rising-energy-costs/2543841/lite/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/05_may/31_tue/img_1654000032326_164.jpg?,https://inshorts.com/en/news/inflation-in-eu-countries-hits-81-in-may-highest-since-1997-1654003264927,Financial Express,Tuesday
"FPIs sell ₹45,276 cr in May, 2nd highest outflow since Mar 2020","Foreign portfolio investors (FPIs) withdrew net ₹45,276 crore in May 2022, the second highest monthly foreign investment outflow since March 2020, when the COVID-19 pandemic had triggered a nationwide lockdown. The outflow in May also marks the eighth consecutive month when FPIs have remained net sellers. FPIs have withdrawn approximately net ₹2.5 lakh crore since October 2021.",2022-06-01,Ashley Paul,https://www.moneycontrol.com/news/business/markets/may-sees-second-biggest-fpi-outflows-from-indian-stock-market-8616481.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/06_jun/1_wed/img_1654074896163_388.jpg?,https://inshorts.com/en/news/fpis-sell-₹45276-cr-in-may-2nd-highest-outflow-since-mar-2020-1654077498750,Moneycontrol,Wednesday
Yes Bank plans to sell pool of stressed assets to JC Flowers: Report,"Yes Bank is planning to sell a pool of stressed assets worth ₹48,000 crore to US-based JC Flowers Asset Reconstruction Company (ARC), BQ Prime reported. JC Flowers has agreed to place a ₹12,400-crore bid against the stressed assets on sale, ensuring a 25% recovery. Yes Bank will have to invest ₹300-400 crore in the ARC as part of the deal.",2022-06-02,Ashley Paul,https://www.bqprime.com/business/yes-bank-close-to-signing-deal-with-jc-flowers-to-sell-pool-of-stressed-assets-exclusive?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/06_jun/2_thu/img_1654167638088_475.jpg?,https://inshorts.com/en/news/yes-bank-plans-to-sell-pool-of-stressed-assets-to-jc-flowers-report-1654169784662,BQ Prime,Thursday
"Centre releases ₹86,912 cr to states, clears GST compensation dues","The Centre on Tuesday said it has released ₹86,912 crore to state governments, thereby clearing all GST compensation due to them. The Centre paid part of the compensation dues from its own resources as only about ₹25,000 crore was available in the GST compensation fund. Of the total compensation released, ₹47,617 crore was due up to January.",2022-05-31,Ashley Paul,https://www.moneycontrol.com/news/business/economy/centre-releases-rs-86912-crore-to-states-clears-gst-compensation-dues-8614691.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/05_may/31_tue/img_1654008735268_208.jpg?,https://inshorts.com/en/news/centre-releases-₹86912-cr-to-states-clears-gst-compensation-dues-1654011888171,Moneycontrol,Tuesday
India faces low stagflationary risks: CEA Nageswaran,"Chief Economic Advisor (CEA) V Anantha Nageswaran on Tuesday said India faces low stagflationary risks as compared with the rest of the world. After data showed GDP growth in January-March quarter (Q4) slowed down to 4.1%, he said there's considerable momentum in economic activity. RBI's confidence to raise rates is a sign that economic recovery is taking hold, he added.",2022-05-31,Ashley Paul,https://www.moneycontrol.com/news/business/economy/india-faces-low-stagflationary-risks-says-cea-v-anantha-nageswaran-8615121.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/05_may/31_tue/img_1654007452894_566.jpg?,https://inshorts.com/en/news/india-faces-low-stagflationary-risks-cea-nageswaran-1654010657048,Moneycontrol,Tuesday
Mahindra & Mahindra plans IPO for unlisted arms in next 2 yrs: CEO,"Mahindra and Mahindra (M&M) will look at monetising its listed and unlisted companies by raising ₹2,000 crore over the next two years, said M&M MD and CEO Anish Shah. Unlisted firms will be on their path to an IPO, he added. M&M also raised its capital expenditure by ₹3,300 crore for auto and farm equipment units.",2022-05-31,Ashley Paul,https://www.bqprime.com/business/mm-raises-capex-by-rs-3300-crore-plans-ipos-for-unlisted-arms?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/05_may/31_tue/img_1654005737826_145.jpg?,https://inshorts.com/en/news/mahindra-mahindra-plans-ipo-for-unlisted-arms-in-next-2-yrs-ceo-1654008675518,BQ Prime,Tuesday
"US becomes India's biggest trading partner in 2021-22, surpasses China","The US has surpassed China to become India's biggest trading partner in 2021-2022, according to the data by the Ministry of Commerce and Industry. Bilateral trade between India and the US stood at $119.42 billion in 2021-2022 in contrast to $80.51 billion in 2020-21. Meanwhile, bilateral trade between India and China stood at $115.42 billion in 2021-2022.",2022-05-29,Ridham Gambhir,https://www.moneycontrol.com/news/business/us-surpasses-china-as-indias-biggest-trading-partner-in-fy22-at-119-42-billion-8599621.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/05_may/29_sun/img_1653803595962_350.jpg?,https://inshorts.com/en/news/us-becomes-indias-biggest-trading-partner-in-202122-surpasses-china-1653804985224,Moneycontrol,Sunday
"Vodafone Idea shares jump on report that Amazon may invest ₹20,000 crore","Shares of Vodafone Idea rose sharply on Monday after The Ken reported that American e-commerce giant Amazon may invest up to ₹20,000 crore in the telecom service provider. The company's shares jumped to an intraday high of ₹9.45 on the NSE. As per The Ken, Amazon had carried out due diligence on Vodafone Idea in the first quarter of 2021.",2022-05-30,Hiral Goyal,https://www.moneycontrol.com/news/business/markets/vodafone-idea-rises-on-report-amazon-may-invest-rs-20000-crore-8602871.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/05_may/30_mon/img_1653899957564_711.jpg?,https://inshorts.com/en/news/vodafone-idea-shares-jump-on-report-that-amazon-may-invest-₹20000-crore-1653901267433,Moneycontrol,Monday
Who were the highest paid CEOs of Fortune 500 companies in 2021?,"Tesla's Elon Musk was the highest paid CEO on the list of Fortune 500 companies in 2021, with a ""realised"" compensation worth $23.5 billion. He was followed by Apple CEO Tim Cook ($770.5 million), NVIDIA CEO Jensen Huang ($561 million) and Netflix co-CEO Reed Hastings ($453.5 million). Microsoft CEO Satya Nadella ranked seventh on the list with $309.4 million compensation.",2022-05-29,Hiral Goyal,https://www.timesnownews.com/business-economy/companies/elon-musk-tops-list-of-highest-paid-ceos-these-are-worlds-top-5-most-salaried-chief-executives-article-91872337/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/05_may/29_sun/img_1653832814608_699.jpg?,https://inshorts.com/en/news/who-were-the-highest-paid-ceos-of-fortune-500-companies-in-2021-1653834234323,Times Now,Sunday
Zoho CEO encouraging youth: PM as he lauds his push for rural entrepreneurship,"Prime Minister Narendra Modi lauded Zoho CEO and Padma Shri awardee Sridhar Vembu for his push for rural entrepreneurship and called him a ""successful entrepreneur"". ""He has...taken up upon himself the task of grooming other entrepreneurs...He's encouraging rural youth to do something in this area, staying in the village itself,"" PM said during the latest episode of 'Mann Ki Baat'.",2022-05-29,Hiral Goyal,https://www.moneycontrol.com/news/trends/pm-modi-lauds-sridhar-vembus-push-for-rural-entrepreneurship-in-mann-ki-baat-watch-8600071.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/05_may/29_sun/img_1653814681826_657.jpg?,https://inshorts.com/en/news/zoho-ceo-encouraging-youth-pm-as-he-lauds-his-push-for-rural-entrepreneurship-1653816999309,Moneycontrol,Sunday
Tata Motors gets Gujarat govt's approval to take over Ford's Sanand plant,"Months after Ford Motor Company announced its exit from India, Tata Motors has received an approval from the Gujarat cabinet to take over the former's passenger car manufacturing plant in Sanand. The plant had ceased operations in April this year after Ford ended its manufacturing in India owing to ""huge accumulated losses"" and lack of growth in the market.",2022-05-29,Ridham Gambhir,https://www.timesnownews.com/business-economy/companies/tata-motors-to-take-over-ford-motor-companys-plant-in-gujarat-secures-govt-nod-article-91864003/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/05_may/29_sun/img_1653801621574_7.jpg?,https://inshorts.com/en/news/tata-motors-gets-gujarat-govts-approval-to-take-over-fords-sanand-plant-1653803730677,Times Now,Sunday
Tata Motors signs MoU with Gujarat govt for acquisition of Ford's Sanand plant,"Tata Motors has signed an MoU with the Gujarat government for the potential acquisition of Ford India's Sanand plant, it said in a regulatory filing. The agreement includes a transfer of Ford India's land, buildings, vehicle manufacturing plant, machinery and transfer of all eligible employees. As per a report, Tata Motors would pay $100-150 million for the plant.",2022-05-30,Ridham Gambhir,https://www.moneycontrol.com/news/business/companies/tata-motors-signs-mou-for-acquisition-of-ford-indias-sanand-plant-8602581.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/05_may/30_mon/img_1653891385343_225.jpg?,https://inshorts.com/en/news/tata-motors-signs-mou-with-gujarat-govt-for-acquisition-of-fords-sanand-plant-1653892239368,Moneycontrol,Monday
M&M to sell its entire stake in TVS Automobile Solutions for ₹45 crore,"Mahindra and Mahindra has announced it will sell its entire 2.76% stake in TVS Automobile Solutions Private Limited (TASPL). It added that following the sale, its holding in TASPL would become nil and it would receive ₹45 crore from the deal. In TASPL, M&M holds 3,32,195 equity shares of ₹10 each and 100 Compulsorily Convertible Preference Shares of ₹10 each.",2022-05-31,Ridham Gambhir,https://www.timesnownews.com/business-economy/companies/mm-to-sell-its-entire-stake-in-tvs-automobile-solutions-article-91902287/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/05_may/31_tue/img_1653966235102_645.jpg?,https://inshorts.com/en/news/mm-to-sell-its-entire-stake-in-tvs-automobile-solutions-for-₹45-crore-1653968537130,Times Now,Tuesday
Can't incentivise delivery agents to break traffic rules: Mahua on 10-minute deliveries,"TMC MP Mahua Moitra on Sunday tweeted that she will raise the issue of 10-minute deliveries offered by food-ordering apps, in the Parliament. She wrote, ""10-minute deliveries need to be regulated or outlawed. No civilised society can be incentivising delivery executives to break traffic rules and put their own and others' lives at risk. All for a quicker pizza.""",2022-05-29,Ridham Gambhir,https://twitter.com/MahuaMoitra/status/1530805162582867968?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/05_may/29_sun/img_1653818081004_734.jpg?,https://inshorts.com/en/news/cant-incentivise-delivery-agents-to-break-traffic-rules-mahua-on-10minute-deliveries-1653821138949,Twitter,Sunday
